Combo #,Median Image Size,F1 Score,Precision,Recall,Image Count,F1 Diff
0,1283170.303030303,0.30414746543778803,0.17967332123411978,0.99,99,0.0
1,1282693.6222222222,0.2990033222591363,0.17928286852589642,0.9,90,-0.00514414317865175
2,1281290.8375,0.2914389799635701,0.17817371937639198,0.8,80,-0.012708485474217934
3,1278986.7428571428,0.2839756592292089,0.178117048346056,0.7,70,-0.020171806208579113
4,1278279.0666666667,0.2727272727272727,0.17647058823529413,0.6,60,-0.03142019271051533
5,144945.02040816325,0.3807615230460921,0.23809523809523808,0.95,98,0.07661405760830409
6,144972.3033707865,0.3763676148796499,0.24089635854341737,0.86,89,0.07222014944186189
7,145000.37974683545,0.36450839328537166,0.23974763406940064,0.76,79,0.06036092784758362
8,144965.73913043478,0.35200000000000004,0.24,0.66,69,0.047852534562212
9,145030.3220338983,0.3475609756097561,0.25,0.57,59,0.04341351017196804
10,21505.30612244898,0.6693227091633466,0.5562913907284768,0.84,98,0.36517524372555854
11,22537.14606741573,0.6333333333333332,0.5428571428571428,0.76,89,0.32918586789554516
12,24003.848101265823,0.584070796460177,0.5238095238095238,0.66,79,0.279923331022389
13,25408.971014492752,0.5302325581395348,0.4956521739130435,0.57,69,0.22608509270174681
14,26985.305084745763,0.4851485148514851,0.4803921568627451,0.49,59,0.18100104941369705
15,1250362.4444444445,0.39999999999999997,0.2714285714285714,0.76,99,0.09585253456221193
16,1249630.4777777777,0.3919308357348703,0.27530364372469635,0.68,90,0.08778337029708227
17,1247884.45,0.37770897832817335,0.273542600896861,0.61,80,0.07356151289038532
18,1245496.2714285713,0.36236933797909404,0.27807486631016043,0.52,70,0.05822187254130601
19,1245401.7833333334,0.3412698412698413,0.28289473684210525,0.43,60,0.037122375832053245
20,1125338.7878787878,0.375,0.23130841121495327,0.99,99,0.07085253456221197
21,1125143.1444444444,0.36885245901639346,0.23195876288659795,0.9,90,0.06470499357860543
22,1124530.0,0.3611738148984198,0.23323615160349853,0.8,80,0.05702634946063179
23,1123337.9571428571,0.3491271820448878,0.23255813953488372,0.7,70,0.04497971660709976
24,1123074.7833333334,0.345821325648415,0.242914979757085,0.6,60,0.04167386021062697
25,137839.693877551,0.3486590038314176,0.2156398104265403,0.91,98,0.04451153839362959
26,137889.2808988764,0.34309623430962344,0.21693121693121692,0.82,89,0.038948768871835404
27,137957.72151898735,0.33488372093023255,0.21818181818181817,0.72,79,0.03073625549244452
28,137968.95652173914,0.32642487046632124,0.2202797202797203,0.63,69,0.022277405028533204
29,138072.71186440677,0.31360946745562135,0.22268907563025211,0.53,59,0.009462002017833315
30,21093.775510204083,0.6781115879828326,0.5939849624060151,0.79,98,0.3739641225450445
31,22093.460674157304,0.6425339366515836,0.5867768595041323,0.71,89,0.3383864712137956
32,23523.78481012658,0.5971563981042655,0.5675675675675675,0.63,79,0.29300893266647743
33,24898.333333333332,0.5472636815920399,0.5445544554455446,0.55,69,0.24311621615425183
34,26429.406779661018,0.4893617021276596,0.5227272727272727,0.46,59,0.18521423668987158
35,1159897.111111111,0.4912280701754386,0.34710743801652894,0.84,99,0.1870806047376506
36,1159814.2444444445,0.4825396825396825,0.35348837209302325,0.76,90,0.17839221710189446
37,1159342.975,0.48611111111111105,0.3723404255319149,0.7,80,0.18196364567332302
38,1158268.6,0.4562737642585551,0.36809815950920244,0.6,70,0.15212629882076706
39,1158135.9666666666,0.4291845493562232,0.37593984962406013,0.5,60,0.12503708391843515
40,1039524.8484848485,0.35955056179775285,0.22119815668202766,0.96,99,0.05540309635996482
41,1039339.1777777778,0.34800000000000003,0.2175,0.87,90,0.043852534562212
42,1038935.3625,0.3384615384615385,0.21690140845070421,0.77,80,0.03431407302375045
43,1038172.5142857142,0.32843137254901955,0.21753246753246752,0.67,70,0.024283907111231517
44,1037922.0666666667,0.3204419889502762,0.22137404580152673,0.58,60,0.016294523512488168
45,131320.70408163266,0.4670329670329671,0.32196969696969696,0.85,98,0.16288550159517906
46,131389.79775280898,0.45161290322580644,0.31950207468879666,0.77,89,0.1474654377880184
47,131500.8734177215,0.43312101910828027,0.3177570093457944,0.68,79,0.12897355367049224
48,131562.91304347827,0.41258741258741255,0.3172043010752688,0.59,69,0.10843994714962452
49,131716.49152542374,0.39534883720930236,0.3227848101265823,0.51,59,0.09120137177151433
50,20836.530612244896,0.6129032258064517,0.5135135135135135,0.76,98,0.3087557603686637
51,21812.752808988764,0.5974025974025975,0.5267175572519084,0.69,89,0.29325513196480946
52,23209.59493670886,0.5622119815668203,0.5213675213675214,0.61,79,0.25806451612903225
53,24562.246376811596,0.5196078431372548,0.5096153846153846,0.53,69,0.2154603776994668
54,26059.57627118644,0.4816753926701571,0.5054945054945055,0.46,59,0.17752792723236904
55,1067261.8585858585,0.41784037558685444,0.27300613496932513,0.89,99,0.1136929101490664
56,1066969.711111111,0.41102756892230574,0.27424749163879597,0.82,90,0.10688010348451771
57,1066407.95,0.3978201634877384,0.27340823970037453,0.73,80,0.09367269804995038
58,1065472.0,0.3806646525679758,0.2727272727272727,0.63,70,0.07651718713018779
59,1065083.8833333333,0.36363636363636365,0.27411167512690354,0.54,60,0.05948889819857561
60,987582.9393939395,0.42857142857142855,0.27586206896551724,0.96,99,0.12442396313364051
61,987362.0444444445,0.4133016627078384,0.27102803738317754,0.87,90,0.10915419727005038
62,986914.45,0.4010416666666667,0.2711267605633803,0.77,80,0.09689420122887865
63,986130.4571428571,0.3839541547277937,0.26907630522088355,0.67,70,0.07980668929000567
