Combo #,Median Image Size,F1 Score,Precision,Recall,Image Count,F1 Diff
0,2140877.595959596,0.37713139418254765,0.5033467202141901,0.301523656776263,99,0.0
1,2144733.777777778,0.35152151101783846,0.5083459787556904,0.268644747393745,90,-0.02560988316470919
2,2149482.5,0.3182819383259912,0.507908611599297,0.23175621491579793,80,-0.05884945585655643
3,2153270.1285714284,0.28753623188405797,0.5188284518828452,0.19887730553327987,70,-0.08959516229848968
4,2160607.816666667,0.2516799022602321,0.5282051282051282,0.16519647153167602,60,-0.12545149192231553
5,211365.55102040817,0.23908296943231439,0.37435897435897436,0.1756214915797915,98,-0.13804842475023327
6,211783.34831460673,0.2328458942632171,0.3898305084745763,0.16599839615076184,89,-0.14428549991933054
7,211960.25316455695,0.21533060269163257,0.39826839826839827,0.1475541299117883,79,-0.16180079149091509
8,212440.36231884058,0.20219244823386112,0.42025316455696204,0.13311948676824378,69,-0.17493894594868653
9,213134.69491525425,0.18411097099621687,0.4306784660766962,0.11708099438652766,59,-0.19302042318633078
10,129765.59183673469,0.230726566833056,0.37410071942446044,0.16680032076984763,98,-0.14640482734949165
11,134131.51685393258,0.22499999999999998,0.38596491228070173,0.15878107457898957,89,-0.15213139418254767
12,143672.37974683545,0.20536756126021008,0.37687366167023556,0.14113873295910184,79,-0.17176383292233757
13,148154.6231884058,0.19335347432024172,0.39215686274509803,0.12830793905372895,69,-0.18377791986230593
14,153057.69491525425,0.17841547099189023,0.40168539325842695,0.11467522052927025,59,-0.19871592319065742
15,2007312.1818181819,0.24222222222222226,0.39421338155515373,0.1748195669607057,99,-0.1349091719603254
16,2008636.8555555556,0.23014959723820483,0.4073319755600815,0.16038492381716118,90,-0.14698179694434282
17,2011552.0875,0.2154761904761905,0.418013856812933,0.14514835605453089,80,-0.16165520370635716
18,2015781.8857142858,0.19164619164619165,0.4094488188976378,0.12510024057738572,70,-0.185485202536356
19,2022068.5166666666,0.17048346055979646,0.4123076923076923,0.107457898957498,60,-0.2066479336227512
20,1905349.878787879,0.34168987929433614,0.40573318632855565,0.2951082598235766,99,-0.03544151488821151
21,1909943.677777778,0.325147347740668,0.41951837769328265,0.2654370489174018,90,-0.05198404644187965
22,1915472.7375,0.29931972789115646,0.4307228915662651,0.2293504410585405,80,-0.07781166629139119
23,1919977.9285714286,0.27006087437742116,0.4357142857142857,0.19566960705693665,70,-0.1070705198051265
24,1927201.6166666667,0.23481308411214957,0.432258064516129,0.161186848436247,60,-0.14231831007039808
25,204253.8775510204,0.27058823529411763,0.406099518459069,0.2028869286287089,98,-0.10654315888843002
26,204692.7191011236,0.25913621262458475,0.4186046511627907,0.18765036086607859,89,-0.1179951815579629
27,204948.69620253163,0.23764705882352938,0.445916114790287,0.1619887730553328,79,-0.13948433535901827
28,205436.95652173914,0.21677893447642377,0.4585492227979275,0.14194065757818766,69,-0.16035245970612388
29,206104.86440677967,0.20012666244458518,0.4759036144578313,0.12670408981555734,59,-0.17700473173796247
30,125757.59183673469,0.2557377049180328,0.4013722126929674,0.18765036086607859,98,-0.12139368926451483
31,129949.37078651685,0.2492981471083661,0.4157303370786517,0.17802726543704891,89,-0.12783324707418156
32,139029.7594936709,0.2254672897196262,0.4150537634408602,0.15477145148356056,79,-0.15166410446292145
33,143262.60869565216,0.2073984232868405,0.4253731343283582,0.13712910986367283,69,-0.16973297089570716
34,148001.2033898305,0.19184952978056424,0.4396551724137931,0.1226944667201283,59,-0.1852818644019834
35,2006000.5252525252,0.14609571788413098,0.34017595307917886,0.09302325581395349,99,-0.23103567629841668
36,2010933.7555555555,0.14157014157014158,0.3583061889250814,0.08821170809943865,90,-0.23556125261240607
37,2016963.45,0.13765718067504962,0.3939393939393939,0.08340016038492382,80,-0.23947421350749803
38,2021724.5428571429,0.12719891745602163,0.4069264069264069,0.07538091419406576,70,-0.24993247672652602
39,2029356.0333333334,0.11658570437196392,0.4329896907216495,0.0673616680032077,60,-0.26054568981058374
40,1741879.202020202,0.32876712328767127,0.4,0.27906976744186046,99,-0.04836427089487638
41,1746260.5,0.3098311817279047,0.4067796610169492,0.25020048115477145,90,-0.06730021245464296
42,1751811.575,0.28526481384373364,0.4121212121212121,0.2181234963913392,80,-0.09186658033881401
43,1756405.8142857142,0.25663716814159293,0.41354723707664887,0.18604651162790697,70,-0.12049422604095472
44,1762751.2,0.22612770943175164,0.41956521739130437,0.15477145148356056,60,-0.151003684750796
45,196654.6326530612,0.2459349593495935,0.3356449375866852,0.19406575781876503,98,-0.13119643483295415
46,197101.5842696629,0.23746701846965698,0.3472222222222222,0.18043303929430635,89,-0.13966437571289067
47,197432.9746835443,0.22122403144300956,0.36891385767790263,0.15797914995990378,79,-0.1559073627395381
48,197932.5072463768,0.20338983050847456,0.375,0.13953488372093023,69,-0.1737415636740731
49,198584.83050847458,0.19111381618989656,0.39646464646464646,0.12590216519647154,59,-0.1860175779926511
50,121453.69387755102,0.23700623700623705,0.33677991137370755,0.18283881315156375,98,-0.1401251571763106
51,125506.04494382022,0.23220973782771537,0.34887459807073956,0.1740176423416199,89,-0.14492165635483228
52,134286.3924050633,0.21428571428571427,0.3522935779816514,0.15396952686447474,79,-0.16284567989683338
53,138569.24637681158,0.1986062717770035,0.36,0.13712910986367283,69,-0.17852512240554416
54,143114.62711864407,0.18500604594921405,0.3759213759213759,0.1226944667201283,59,-0.1921253482333336
55,1857063.111111111,0.14065391733497842,0.3048128342245989,0.09141940657578188,99,-0.23647747684756923
56,1862170.177777778,0.13702074167190448,0.3168604651162791,0.08740978348035285,90,-0.24011065251064317
57,1868866.5125,0.13135866065679333,0.3333333333333333,0.0817963111467522,80,-0.24577273352575432
58,1874292.2857142857,0.12137203166226913,0.3420074349442379,0.07377706495589414,70,-0.25575936252027853
59,1881684.6666666667,0.1091644204851752,0.34177215189873417,0.06495589414595028,60,-0.26796697369737243
60,1636173.8181818181,0.31664282308059133,0.3905882352941176,0.26623897353648757,99,-0.06048857110195632
61,1640053.0666666667,0.3,0.398406374501992,0.24057738572574178,90,-0.07713139418254766
62,1644969.4875,0.2775725593667546,0.4058641975308642,0.21090617481956697,80,-0.09955883481579303
