current time: 2020-02-20 12:36:39.043680529 -0500 EST m=+55.446191292, image_size: 230400, latency: 530.529µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.048475291 -0500 EST m=+55.450986046, image_size: 230400, latency: 745.291µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.054155307 -0500 EST m=+55.456666068, image_size: 230400, latency: 1.255307ms, accuracy: 0.341151
current time: 2020-02-20 12:36:39.059755357 -0500 EST m=+55.462266094, image_size: 230400, latency: 475.357µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.06412065 -0500 EST m=+55.466631407, image_size: 230400, latency: 510.65µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.06936265 -0500 EST m=+55.471873399, image_size: 230400, latency: 782.65µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.074098609 -0500 EST m=+55.476609341, image_size: 230400, latency: 668.609µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.078423235 -0500 EST m=+55.480933967, image_size: 230400, latency: 513.235µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.083607572 -0500 EST m=+55.486118324, image_size: 230400, latency: 557.572µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.089143393 -0500 EST m=+55.491654153, image_size: 230400, latency: 783.393µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.094194885 -0500 EST m=+55.496705628, image_size: 230400, latency: 854.885µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.098733792 -0500 EST m=+55.501244571, image_size: 230400, latency: 563.792µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.10353702 -0500 EST m=+55.506047791, image_size: 230400, latency: 427.02µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.108306792 -0500 EST m=+55.510817512, image_size: 230400, latency: 516.792µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.112721664 -0500 EST m=+55.515232425, image_size: 230400, latency: 431.664µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.117276544 -0500 EST m=+55.519787305, image_size: 230400, latency: 576.544µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.122371632 -0500 EST m=+55.524882373, image_size: 230400, latency: 581.632µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.127334987 -0500 EST m=+55.529845711, image_size: 230400, latency: 684.987µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.132461456 -0500 EST m=+55.534972223, image_size: 230400, latency: 551.456µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.137162427 -0500 EST m=+55.539673156, image_size: 230400, latency: 522.427µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.142181692 -0500 EST m=+55.544692424, image_size: 230400, latency: 521.692µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.146727833 -0500 EST m=+55.549238601, image_size: 230400, latency: 397.833µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.151443881 -0500 EST m=+55.553954623, image_size: 230400, latency: 443.881µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.157687873 -0500 EST m=+55.560198639, image_size: 230400, latency: 447.873µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.162319637 -0500 EST m=+55.564830373, image_size: 230400, latency: 579.637µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.166939314 -0500 EST m=+55.569450065, image_size: 230400, latency: 409.314µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.172505427 -0500 EST m=+55.575016165, image_size: 230400, latency: 665.427µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.177534379 -0500 EST m=+55.580045107, image_size: 230400, latency: 744.379µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.182254819 -0500 EST m=+55.584765573, image_size: 230400, latency: 694.819µs, accuracy: 0.341151
current time: 2020-02-20 12:36:39.187756224 -0500 EST m=+55.590266999, image_size: 230400, latency: 436.224µs, accuracy: 0.341151
