current time: 2020-02-26 14:52:16.140588947 -0500 EST m=+24.462155191, image_size: 230400, latency: 628.947µs, accuracy: 0.338983
current time: 2020-02-26 14:52:16.398655953 -0500 EST m=+24.720222197, image_size: 230400, latency: 2.125953ms, accuracy: 0.338983
current time: 2020-02-26 14:52:16.662796276 -0500 EST m=+24.984362433, image_size: 230400, latency: 1.666276ms, accuracy: 0.338983
current time: 2020-02-26 14:52:16.931144557 -0500 EST m=+25.252710710, image_size: 230400, latency: 804.557µs, accuracy: 0.338983
current time: 2020-02-26 14:52:17.203973195 -0500 EST m=+25.525539322, image_size: 230400, latency: 2.893195ms, accuracy: 0.338983
current time: 2020-02-26 14:52:17.468550126 -0500 EST m=+25.790116215, image_size: 230400, latency: 510.126µs, accuracy: 0.338983
current time: 2020-02-26 14:52:17.734418097 -0500 EST m=+26.055984253, image_size: 230400, latency: 1.068097ms, accuracy: 0.338983
current time: 2020-02-26 14:52:18.006982784 -0500 EST m=+26.328548901, image_size: 230400, latency: 842.784µs, accuracy: 0.338983
current time: 2020-02-26 14:52:18.280006276 -0500 EST m=+26.601572357, image_size: 230400, latency: 736.276µs, accuracy: 0.338983
current time: 2020-02-26 14:52:18.543434256 -0500 EST m=+26.865000350, image_size: 230400, latency: 714.256µs, accuracy: 0.338983
current time: 2020-02-26 14:52:18.796409282 -0500 EST m=+27.117975369, image_size: 230400, latency: 859.282µs, accuracy: 0.338983
current time: 2020-02-26 14:52:19.060619716 -0500 EST m=+27.382185851, image_size: 230400, latency: 849.716µs, accuracy: 0.338983
current time: 2020-02-26 14:52:19.326251064 -0500 EST m=+27.647817244, image_size: 230400, latency: 2.701064ms, accuracy: 0.338983
current time: 2020-02-26 14:52:19.592438437 -0500 EST m=+27.914004592, image_size: 230400, latency: 558.437µs, accuracy: 0.338983
current time: 2020-02-26 14:52:19.861737897 -0500 EST m=+28.183304053, image_size: 230400, latency: 1.207897ms, accuracy: 0.338983
current time: 2020-02-26 14:52:20.127435164 -0500 EST m=+28.449001312, image_size: 230400, latency: 2.315164ms, accuracy: 0.338983
current time: 2020-02-26 14:52:20.393557376 -0500 EST m=+28.715123569, image_size: 230400, latency: 977.376µs, accuracy: 0.338983
current time: 2020-02-26 14:52:20.671883418 -0500 EST m=+28.993449527, image_size: 230400, latency: 733.418µs, accuracy: 0.338983
current time: 2020-02-26 14:52:20.942223197 -0500 EST m=+29.263789280, image_size: 230400, latency: 773.197µs, accuracy: 0.338983
current time: 2020-02-26 14:52:21.196542 -0500 EST m=+29.518108104, image_size: 230400, latency: 682µs, accuracy: 0.338983
current time: 2020-02-26 14:52:21.459436745 -0500 EST m=+29.781002914, image_size: 230400, latency: 1.256745ms, accuracy: 0.338983
current time: 2020-02-26 14:52:21.72431704 -0500 EST m=+30.045883278, image_size: 230400, latency: 1.36704ms, accuracy: 0.338983
current time: 2020-02-26 14:52:21.994059415 -0500 EST m=+30.315625537, image_size: 230400, latency: 1.009415ms, accuracy: 0.338983
current time: 2020-02-26 14:52:22.2630946 -0500 EST m=+30.584660771, image_size: 230400, latency: 1.1746ms, accuracy: 0.338983
current time: 2020-02-26 14:52:22.525404972 -0500 EST m=+30.846971120, image_size: 230400, latency: 1.724972ms, accuracy: 0.338983
current time: 2020-02-26 14:52:22.793670951 -0500 EST m=+31.115237053, image_size: 230400, latency: 1.280951ms, accuracy: 0.338983
current time: 2020-02-26 14:52:23.054406985 -0500 EST m=+31.375973180, image_size: 230400, latency: 1.436985ms, accuracy: 0.338983
current time: 2020-02-26 14:52:23.327951955 -0500 EST m=+31.649518102, image_size: 230400, latency: 1.321955ms, accuracy: 0.338983
current time: 2020-02-26 14:52:23.602691532 -0500 EST m=+31.924257632, image_size: 230400, latency: 911.532µs, accuracy: 0.338983
current time: 2020-02-26 14:52:23.878998761 -0500 EST m=+32.200564869, image_size: 230400, latency: 1.048761ms, accuracy: 0.338983
current time: 2020-02-26 14:52:24.137327498 -0500 EST m=+32.458893640, image_size: 230400, latency: 627.498µs, accuracy: 0.338983
current time: 2020-02-26 14:52:24.400584482 -0500 EST m=+32.722150629, image_size: 230400, latency: 984.482µs, accuracy: 0.338983
current time: 2020-02-26 14:52:24.675371237 -0500 EST m=+32.996937309, image_size: 230400, latency: 461.237µs, accuracy: 0.338983
current time: 2020-02-26 14:52:24.931997702 -0500 EST m=+33.253563881, image_size: 230400, latency: 857.702µs, accuracy: 0.338983
current time: 2020-02-26 14:52:25.190290341 -0500 EST m=+33.511856499, image_size: 230400, latency: 660.341µs, accuracy: 0.338983
