Combo #,Median Image Size,F1 Score, Precision, Recall, Image Count
19,3104889.7,0.3584415584415585,0.23,0.8117647058823529,60
20,2263914.282828283,0.5970149253731343,0.4528301886792453,0.8759124087591241,99
21,2265360.077777778,0.6043956043956044,0.46218487394957986,0.873015873015873,90
22,2266161.3875,0.6006191950464397,0.46190476190476193,0.8584070796460177,80
23,2266378.0142857144,0.6153846153846154,0.4731182795698925,0.88,70
24,2266633.2,0.6016260162601627,0.45962732919254656,0.8705882352941177,60
25,242073.1530612245,0.5484764542936288,0.43805309734513276,0.7333333333333333,98
26,242089.35955056178,0.5592705167173253,0.44878048780487806,0.7419354838709677,89
27,242107.93670886077,0.549828178694158,0.4444444444444444,0.7207207207207207,79
28,242108.40579710144,0.5612648221343874,0.45806451612903226,0.7244897959183674,69
29,242108.81355932204,0.5412844036697247,0.43703703703703706,0.7108433734939759,59
30,14725.84693877551,0.46884272997032644,0.3910891089108911,0.5851851851851851,98
31,14658.786516853932,0.4625407166123779,0.3879781420765027,0.5725806451612904,89
32,14563.60759493671,0.44525547445255476,0.37423312883435583,0.5495495495495496,79
33,14521.40579710145,0.453781512605042,0.38571428571428573,0.5510204081632653,69
34,14408.796610169491,0.43137254901960786,0.36363636363636365,0.5301204819277109,59
35,2351944,0.5215189873417722,0.3992248062015504,0.7518248175182481,99
36,2353427.466666667,0.5266106442577031,0.4069264069264069,0.746031746031746,90
37,2354310.8875,0.5266457680250783,0.4077669902912621,0.7433628318584071,80
38,2354398.1142857145,0.5551601423487544,0.430939226519337,0.78,70
39,2354468.3333333335,0.5666666666666668,0.43870967741935485,0.8,60
40,1924388.202020202,0.6402116402116402,0.5020746887966805,0.8832116788321168,99
41,1924478.9555555556,0.6453488372093023,0.5091743119266054,0.8809523809523809,90
42,1924842.775,0.6447368421052632,0.5130890052356021,0.8672566371681416,80
43,1925197.142857143,0.6666666666666666,0.5329341317365269,0.89,70
44,1925491.15,0.6521739130434783,0.5172413793103449,0.8823529411764706,60
45,223714.1224489796,0.48226950354609927,0.3541666666666667,0.7555555555555555,98
46,223695.34831460673,0.48831168831168836,0.36015325670498083,0.7580645161290323,89
47,223700.83544303797,0.4853801169590643,0.3593073593073593,0.7477477477477478,79
48,223702.6811594203,0.4916943521594684,0.3645320197044335,0.7551020408163265,69
49,223690.5254237288,0.48627450980392156,0.36046511627906974,0.7469879518072289,59
50,14291.30612244898,0.5114754098360657,0.4588235294117647,0.5777777777777777,98
51,14226.404494382023,0.5072463768115941,0.4605263157894737,0.5645161290322581,89
52,14135.12658227848,0.489795918367347,0.44776119402985076,0.5405405405405406,79
53,14088.521739130434,0.5094339622641509,0.47368421052631576,0.5510204081632653,69
54,13969.949152542373,0.4918032786885245,0.45,0.5421686746987951,59
55,1971570.616161616,0.5384615384615384,0.4150197628458498,0.7664233576642335,99
56,1971725.4777777777,0.5322128851540616,0.41125541125541126,0.753968253968254,90
57,1972116.5,0.5220125786163523,0.40487804878048783,0.7345132743362832,80
58,1972608.342857143,0.5376344086021506,0.41899441340782123,0.75,70
59,1973008.55,0.5355648535564853,0.4155844155844156,0.7529411764705882,60
60,1763816.5252525252,0.5393258426966292,0.38961038961038963,0.8759124087591241,99
61,1763679.5333333334,0.5472636815920398,0.39855072463768115,0.873015873015873,90
62,1763884.7,0.5474860335195532,0.4,0.8672566371681416,80
63,1764208.6714285715,0.5632911392405063,0.41203703703703703,0.89,70
64,1764318.7,0.5461254612546125,0.3978494623655914,0.8705882352941177,60
65,212037.7142857143,0.3925619834710744,0.2722063037249284,0.7037037037037037,98
66,212004.44943820225,0.3945578231292517,0.2744479495268139,0.7016129032258065,89
67,212006.2911392405,0.39185750636132316,0.2730496453900709,0.6936936936936937,79
68,212015.28985507245,0.4069767441860465,0.2845528455284553,0.7142857142857143,69
69,212004.15254237287,0.39041095890410954,0.2727272727272727,0.6867469879518072,59
70,13978.051020408164,0.5167785234899329,0.4723926380368098,0.5703703703703704,98
71,13912.292134831461,0.5073529411764706,0.46621621621621623,0.5564516129032258,89
72,13825.721518987342,0.48760330578512395,0.45038167938931295,0.5315315315315315,79
73,13789.202898550724,0.5000000000000001,0.4649122807017544,0.5408163265306123,69
74,13680.71186440678,0.4888888888888889,0.4536082474226804,0.5301204819277109,59
75,1788675.2727272727,0.5396039603960395,0.40823970037453183,0.7956204379562044,99
76,1788506.1666666667,0.546448087431694,0.4166666666666667,0.7936507936507936,90
77,1788684.3,0.5415384615384616,0.41509433962264153,0.7787610619469026,80
78,1789070.2285714287,0.5633802816901409,0.43478260869565216,0.8,70
79,1789126.3666666667,0.551440329218107,0.4240506329113924,0.788235294117647,60
80,1504653.8282828282,0.35988200589970504,0.2255083179297597,0.8905109489051095,99
81,1504439.1222222222,0.36187399030694667,0.22718052738336714,0.8888888888888888,90
82,1504551.625,0.36065573770491804,0.22706422018348624,0.8761061946902655,80
83,1504869.4857142856,0.3723849372384937,0.23544973544973544,0.89,70
84,1504852.4333333333,0.36585365853658536,0.23076923076923078,0.8823529411764706,60
85,189604.47959183675,0.2545454545454546,0.16,0.6222222222222222,98
86,189557.8651685393,0.25,0.15756302521008403,0.6048387096774194,89
87,189548.86075949366,0.24390243902439027,0.15402843601895735,0.5855855855855856,79
88,189554.84057971014,0.2548596112311015,0.16164383561643836,0.6020408163265306,69
89,189542.37288135593,0.2543640897755611,0.16037735849056603,0.6144578313253012,59
90,13240.69387755102,0.5033557046979865,0.4601226993865031,0.5555555555555556,98
91,13176.786516853932,0.49629629629629624,0.4589041095890411,0.5403225806451613,89
92,13087.696202531646,0.4769874476987448,0.4453125,0.5135135135135135,79
93,13041,0.4903846153846154,0.4636363636363636,0.5204081632653061,69
94,12944.49152542373,0.47191011235955055,0.4421052631578947,0.5060240963855421,59
95,1508800.1616161617,0.4193548387096774,0.27790973871733965,0.8540145985401459,99
96,1508603.211111111,0.41796875,0.2772020725388601,0.8492063492063492,90
97,1508724.7125,0.41758241758241754,0.2777777777777778,0.8407079646017699,80
98,1509048.9428571428,0.4387755102040817,0.2945205479452055,0.86,70
99,1509075.3333333333,0.4298507462686567,0.288,0.8470588235294118,60
100,1032781.8787878788,0.3456090651558074,0.21441124780316345,0.8905109489051095,99
101,1034647.6111111111,0.34890965732087226,0.21705426356589147,0.8888888888888888,90
