Combo #,Median Image Size,F1 Score, Precision, Recall, Image Count
0,3785910.606060606,0.3619489559164733,0.23493975903614459,0.7878787878787878,99
1,3793313.6,0.3697585768742059,0.2397034596375618,0.8083333333333333,90
2,3795851.8375,0.37437722419928826,0.2423963133640553,0.821875,80
3,3795939.4571428574,0.37254901960784315,0.24152542372881355,0.8142857142857143,70
4,3793457.05,0.3697318007662835,0.24004975124378108,0.8041666666666667,60
5,313977.55102040817,0.17358490566037738,0.11519198664440734,0.3520408163265306,98
6,314014.11235955055,0.17111567419575635,0.11312217194570136,0.351123595505618,89
7,314043.17721518985,0.18153846153846154,0.11991869918699187,0.37341772151898733,79
8,314029.5797101449,0.18213969938107868,0.12046783625730995,0.37318840579710144,69
9,314034.3220338983,0.17012448132780084,0.11263736263736264,0.3474576271186441,59
10,7988.7040816326535,0.2903225806451613,0.39473684210526316,0.22959183673469388,98
11,7971.112359550561,0.2912966252220249,0.3961352657004831,0.2303370786516854,89
12,7911.113924050633,0.3052208835341365,0.4175824175824176,0.24050632911392406,79
13,8054.840579710145,0.31890660592255127,0.4294478527607362,0.2536231884057971,69
14,8112.64406779661,0.2872340425531915,0.38571428571428573,0.2288135593220339,59
15,3844135.98989899,0.29729729729729726,0.19372128637059724,0.6388888888888888,99
16,3851130.111111111,0.3009079118028534,0.19627749576988154,0.6444444444444445,90
17,3854665.7625,0.3054331864904552,0.19961612284069097,0.65,80
18,3853733.7714285715,0.3150800336983993,0.2061742006615215,0.6678571428571428,70
19,3850694.95,0.30859375,0.20153061224489796,0.6583333333333333,60
20,3028164.242424242,0.2508591065292096,0.1622222222222222,0.553030303030303,99
21,3029491.1555555556,0.25993690851735013,0.16816326530612244,0.5722222222222222,90
22,3029950.5,0.26543647977288853,0.1717171717171717,0.584375,80
23,3030125.6428571427,0.2621359223300971,0.1694560669456067,0.5785714285714286,70
24,3029826.316666667,0.2509433962264151,0.16219512195121952,0.5541666666666667,60
25,291923.67346938775,0.20133333333333328,0.13628158844765342,0.3852040816326531,98
26,291949.52808988764,0.19648093841642228,0.13293650793650794,0.37640449438202245,89
27,291961.3164556962,0.20246913580246917,0.13681868743047831,0.38924050632911394,79
28,291947.97101449274,0.2020774315391879,0.13665389527458494,0.38768115942028986,69
29,291952.33898305084,0.19490586932447398,0.13193403298350825,0.3728813559322034,59
30,7746.15306122449,0.30819672131147546,0.43119266055045874,0.23979591836734693,98
31,7742.08988764045,0.3152173913043478,0.44387755102040816,0.2443820224719101,89
32,7684.265822784811,0.3360655737704918,0.47674418604651164,0.25949367088607594,79
33,7822.130434782609,0.344988344988345,0.48366013071895425,0.26811594202898553,69
34,7870.542372881356,0.3189189189189189,0.44029850746268656,0.25,59
35,3260698.101010101,0.31267345050878814,0.24671532846715327,0.42676767676767674,99
36,3262005.2333333334,0.31643002028397565,0.24920127795527156,0.43333333333333335,90
37,3262361.4375,0.32191780821917804,0.25359712230215825,0.440625,80
38,3262670.8857142855,0.3153846153846154,0.246,0.4392857142857143,70
39,3262401.5833333335,0.30513595166163143,0.23933649289099526,0.42083333333333334,60
40,2526327.595959596,0.30277442702050666,0.1988906497622821,0.6338383838383839,99
41,2526751.2333333334,0.3092236230922363,0.2031386224934612,0.6472222222222223,90
42,2526911.85,0.31784107946026985,0.20907297830374755,0.6625,80
43,2527046.1,0.31849315068493156,0.20945945945945946,0.6642857142857143,70
44,2527018.466666667,0.30921704658077304,0.20286085825747724,0.65,60
45,268209.67346938775,0.22412451361867705,0.1612541993281075,0.3673469387755102,98
46,268224.03370786516,0.22431506849315067,0.16133004926108374,0.36797752808988765,89
47,268227.7721518987,0.22979552093476138,0.1659634317862166,0.37341772151898733,79
48,268229.7971014493,0.22812846068660023,0.16427432216905902,0.37318840579710144,69
49,268240.1186440678,0.22422680412371135,0.16111111111111112,0.3686440677966102,59
50,7459.051020408163,0.2786885245901639,0.38990825688073394,0.21683673469387754,98
51,7457.056179775281,0.2934782608695652,0.413265306122449,0.22752808988764045,89
52,7410.151898734177,0.29918032786885246,0.42441860465116277,0.2310126582278481,79
53,7554.31884057971,0.30626450116009285,0.4258064516129032,0.2391304347826087,69
54,7587.3050847457625,0.2864864864864865,0.39552238805970147,0.2245762711864407,59
55,2691808.3535353537,0.34495084897229666,0.2669432918395574,0.48737373737373735,99
56,2692225.3,0.34516765285996054,0.26758409785932724,0.4861111111111111,90
57,2692313.15,0.3471444568868981,0.2705061082024433,0.484375,80
